,Month,PreCovid_Crashes_Per_Month,Crashes_2020,Crashes_2021
0,1,1242.2857142857142,1296,2032
1,2,1220.4285714285713,1333,1586
2,3,1387.4285714285713,1044,1918
3,4,1310.7142857142858,650,2172
4,5,1324.142857142857,790,2180
5,6,1265.142857142857,843,2132
6,7,1224.5714285714287,858,2324
7,8,1315.857142857143,995,2214
8,9,1283.142857142857,1002,2286
9,10,1420.2857142857142,1146,2414
10,11,1270.5714285714287,1091,2318
11,12,1312.4285714285713,1149,2196
