dayofweek,dayofweek,precovid_average_crashes,covid_average_crashes
0,Mon,40.178082191780824,25.737704918032787
1,Tues,43.846575342465755,28.16393442622951
2,Weds,43.68493150684932,27.83606557377049
3,Thurs,45.24109589041096,29.016393442622952
4,Fri,48.83561643835616,35.377049180327866
5,Sat,41.6958904109589,33.21311475409836
6,Sun,35.25479452054795,26.688524590163933
